ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016061402,3954,18.33038203,16.58901307,-1.045570894,-1.48281759,378.5513691,97762.21928,-5.67E-05,0.001061804,0.164301944,110.5482419,1.814377717,0
2016061403,3955,17.84508867,16.19111761,-0.852354106,-1.612560425,318.0841269,97674.80666,-4.20E-05,0.001884385,0.164301944,87.52373837,1.823967831,0
2016061404,3956,17.68169844,15.84323088,-0.637865745,-0.651991654,237.5715796,97684.68172,-3.84E-05,0.001415738,0.164301944,139.4004733,0.912121607,0
2016061405,3957,18.12919257,16.05087577,-1.030060372,-0.366557417,239.3110482,97689.43638,-3.12E-05,0.000471913,0.164301944,221.2038849,1.093338332,0
2016061406,3958,19.38997985,15.36597376,0.550683393,-1.807882366,189.3634495,97695.65402,-3.77E-05,1.47E-05,0.164277393,-53.22111193,1.889891756,0
2016061407,3959,19.69359304,14.84196936,0.331320297,-2.079162839,343.3478377,97732.22834,-7.92E-05,4.08E-07,0.164277393,-28.44433722,2.105395747,0
2016061408,3960,20.24107223,14.09836146,-1.120464557,-1.918753516,562.5208829,97707.3578,-0.000152782,-1.73E-18,0.164277393,95.13678764,2.221948667,0
2016061409,3961,20.33739931,14.30057063,-1.704989655,-1.076132776,678.071298,97695.65402,-0.000157427,-1.73E-18,0.164277393,181.3994606,2.016197281,0
2016061410,3962,23.10527854,14.56800856,-1.945624324,-0.909118363,887.9671773,97662.73713,-0.000199406,8.16E-07,0.164277393,204.0623181,2.147545159,0
2016061411,3963,23.08454993,14.66041597,-2.088321126,-0.955825784,1197.178431,97650.30186,-0.00022578,1.80E-05,0.164277393,205.4802748,2.296668904,0
2016061412,3964,22.685829,14.77130487,-2.975522981,-0.428362185,722.220668,97661.27416,-0.000240485,0.000363324,0.164277393,257.0070056,3.006198791,0
2016061413,3965,22.45293696,14.35275364,-2.839916704,-0.132548521,854.0061234,97654.69078,-0.000195603,9.14E-05,0.164277393,274.3482223,2.843008265,0
2016061414,3966,21.83107863,14.42776672,-2.363078943,-0.654822406,975.2719353,97643.35274,-0.000147855,7.35E-05,0.164277393,234.0852503,2.45212856,0
2016061415,3967,21.97252092,14.39950092,-1.773235952,-1.534242932,1018.344491,97627.99152,-0.000123054,0.000203706,0.164277393,154.3556091,2.344838398,0
2016061416,3968,22.41026041,14.18859459,-2.160112685,-2.81563035,875.8737289,97630.18598,-0.000119008,7.35E-05,0.164277393,117.7937704,3.548783042,0
2016061417,3969,22.1298145,14.02226124,-3.010532445,-3.934721277,759.4121636,97691.2651,-0.000102992,8.00E-05,0.164277393,117.5593768,4.954325093,0
2016061418,3970,17.90117785,15.69646616,-2.767238829,-3.944157119,695.9629751,97806.10847,-7.28E-05,4.53E-05,0.164228291,110.1243734,4.818089468,0
2016061419,3971,17.69023375,15.73234198,-2.87049459,-3.972936439,719.0730581,97943.26217,-3.47E-05,1.67E-05,0.164228291,112.6215922,4.901424603,0
2016061420,3972,17.91459048,14.91154671,-2.556295731,-3.530395424,788.4033072,98002.14683,-1.94E-05,3.27E-06,0.164228291,112.807116,4.358708491,0
2016061421,3973,18.63155655,14.03421985,-2.122887432,-3.208633193,833.8779866,98092.48541,-1.90E-05,2.04E-06,0.164228291,105.2097805,3.847333884,0
2016061422,3974,19.2741435,13.88528084,-1.764372796,-2.728348807,779.3746367,98157.5877,-1.76E-05,1.63E-06,0.164228291,103.3269916,3.249138128,0
2016061423,3975,18.2681962,13.45911958,-1.420482367,-2.842994294,673.1842195,98165.63405,-1.41E-05,8.16E-07,0.164228291,83.40516284,3.178110556,0
2016061500,3976,18.2681962,13.53087122,-0.769926761,-2.577375326,590.76654,98174.41189,-1.08E-05,-1.73E-18,0.164228291,52.25161902,2.689916502,0
2016061501,3977,17.595126,13.63632439,-0.106076422,-2.066424452,358.7545597,98154.29601,-7.14E-06,-1.73E-18,0.164228291,9.231893743,2.069145288,0
2016061502,3978,17.27078421,13.85484075,0.471358153,-1.390818125,139.9128418,98152.10155,-4.84E-06,-1.73E-18,0.164228291,-58.81653687,1.468520877,0
2016061503,3979,16.5769854,14.21142465,1.235362148,-0.902985065,36.37304335,98138.93479,-2.98E-06,-1.73E-18,0.164228291,-169.1281148,1.53019661,254
2016061504,3980,15.24425765,13.62219149,1.119254812,-0.216055728,30.07782361,98181.36101,-1.48E-06,-1.73E-18,0.164228291,-248.4191594,1.139917283,422
2016061505,3981,15.23084502,13.88854228,1.408193678,-0.079236011,36.45587519,98207.32877,-1.80E-06,-1.73E-18,0.164228291,-272.625797,1.410421136,529
2016061506,3982,20.10328794,14.05813706,2.179731355,0.317069376,62.71356806,98243.9031,-9.09E-06,-1.73E-18,0.164216016,256.7424361,2.202671508,-197
2016061507,3983,21.31530202,14.45929395,1.483530499,0.269418371,151.3436355,98216.47235,-4.05E-05,-1.73E-18,0.164216016,250.4066419,1.507796074,180
2016061508,3984,21.97374025,14.80065781,1.239793725,0.400576583,368.9428758,98235.491,-9.85E-05,-1.73E-18,0.164216016,226.4911981,1.302900641,0
2016061509,3985,22.2883274,14.98764693,0.801510691,0.122219228,731.4150021,98249.0235,-0.000170015,-1.73E-18,0.164216016,255.5056604,0.81077551,172
2016061510,3986,26.71205686,13.9102852,0.445655002,-1.014328008,1288.624781,98230.73634,-0.000241609,8.16E-07,0.164216016,-74.51467737,1.10791231,1194
2016061511,3987,26.92543962,13.78091482,-0.292645843,-2.292412881,2080.911319,98220.86127,-0.00030644,4.90E-06,0.164216016,22.85490046,2.311016747,-261
2016061512,3988,26.42673363,13.74721329,-0.979097228,-2.807138092,2348.54099,98198.18519,-0.000259985,-1.73E-18,0.164216016,60.40710778,2.972987664,-165
2016061513,3989,29.47262012,11.81535475,-1.02252669,-2.02820929,2516.441127,98148.44412,-0.000341974,8.16E-07,0.164216016,84.05352919,2.271385866,686
2016061514,3990,29.64942298,11.5968384,-0.624571012,-2.082465384,2796.495573,98103.09196,-0.000317117,-1.73E-18,0.164216016,52.44885264,2.174109249,434
2016061515,3991,29.92986889,11.34462051,-0.470795266,-2.195223703,2935.735894,98052.25365,-0.000297767,-1.73E-18,0.164216016,38.02738811,2.245140371,-276
2016061516,3992,29.69575752,10.94455076,-0.134438519,-2.165029007,2972.761726,98025.92014,-0.000297523,-1.73E-18,0.164216016,11.16285398,2.169199003,968
2016061517,3993,30.25786868,10.40858776,0.071629844,-1.565853005,2983.447033,97993.36899,-0.00024144,-1.73E-18,0.164216016,-8.228351978,1.5674905,770
2016061518,3994,28.90563164,10.79126317,0.583033911,0.726113151,534.8550488,97993.73474,-0.000143528,-1.73E-18,0.164044159,121.7768889,0.931219012,1088
2016061519,3995,27.63508972,12.62092998,0.844496995,1.761225078,87.72878336,98004.34129,-3.91E-05,-1.73E-18,0.164044159,80.47956759,1.953225269,1610
2016061520,3996,27.28879998,11.23481876,0.850701203,1.784814685,64.45303668,98046.40176,-1.56E-05,-1.73E-18,0.164044159,80.06034663,1.977183855,1478
2016061521,3997,27.34854715,10.4259821,1.028407469,1.364447899,67.68347839,98070.54081,-1.35E-05,-1.73E-18,0.164044159,116.2576255,1.708607618,553
2016061522,3998,25.96460753,11.29569894,1.540254693,1.390868258,57.6608259,98122.84209,-1.36E-05,-1.73E-18,0.164044159,150.5375465,2.075306973,637
2016061523,3999,21.72499692,12.12736567,1.965686152,0.531734794,31.81729222,98100.8975,-1.20E-05,-1.73E-18,0.164044159,235.1899103,2.036335911,-22.8
2016061600,4000,20.78855143,12.2295574,1.749425161,-0.240588918,23.8654357,98080.78162,-9.91E-06,-1.73E-18,0.164044159,-258.1432315,1.765891112,1144
