"","ymdh","time_jjj","t2m","d2m","u10","v10","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"51",2016010311,51,-0.360728458,-2.630641993,-1.466127617,-1.011497255,319.3266044,100118.3371,-2.73e-05,-1.73e-18,0.148061536,174.0372824,1.781195353,5381
"52",2016010312,52,-0.476564813,-2.969831561,-1.392563427,-0.226435155,368.363053,100050.3088,-3.67e-05,-1.73e-18,0.148012435,253.7287127,1.410852855,6510
"53",2016010313,53,2.014526499,-2.474092961,-1.283103458,0.401991959,391.7216315,99962.53046,-4.31e-05,-1.73e-18,0.147951058,-228.09346,1.344601063,5524
"54",2016010314,54,2.220593279,-2.711090801,-1.272467672,0.549191103,427.5049858,99898.15965,-4.53e-05,-1.73e-18,0.147852854,-209.4034798,1.385923823,2867
"55",2016010315,55,2.021842479,-2.549106039,-1.370405539,0.655344332,387.9113669,99895.59945,-2.67e-05,-1.73e-18,0.147766926,-202.4515036,1.51904165,3238
"56",2016010316,56,0.535479136,-2.61759624,-1.239673997,0.504370851,222.496185,99955.21559,-1.34e-05,-1.73e-18,0.147766926,-213.1905953,1.338350318,1706
"57",2016010317,57,2.218154619,-1.792452387,-1.785201211,0.683651859,60.31144474,100021.0494,-3.41e-07,-1.73e-18,0.147828303,-216.9125373,1.911628424,885
"58",2016010318,58,-2.483582092,-3.931955818,-1.55298654,-0.101882033,32.14861957,100084.6887,1.74e-06,-1.73e-18,0.147914231,270.9515274,1.556324883,640
"59",2016010319,59,-1.804415248,-3.488400228,-1.29462556,-1.104440304,33.63959267,100182.7079,1.48e-06,-1.73e-18,0.147963333,155.6113378,1.701717875,156
"60",2016010320,60,-1.42642293,-3.345984096,-1.350020281,-1.129445287,32.14861957,100236.1064,1.44e-06,8.16e-07,0.147975608,157.3425529,1.760170849,144
"61",2016010321,61,-1.937322225,-4.045019007,-0.872296206,-1.433279417,30.90614199,100263.5371,1.85e-06,4.08e-07,0.14802471,98.40964366,1.67785296,190
"62",2016010322,62,-1.917812944,-4.115683501,-0.392356341,-1.29881866,23.20278099,100345.4636,1.74e-06,-1.73e-18,0.148036986,52.80668068,1.356787902,59
"63",2016010323,63,-2.021455999,-4.196132309,0.047256167,-1.153978477,20.46933031,100384.2324,1.31e-06,-1.73e-18,0.148061536,-7.367000494,1.154945657,344
"64",2016010401,65,-2.421396259,-4.625554999,0.345944504,-1.342695328,27.75853212,100451.5291,3.54e-06,-1.73e-18,0.148073812,-45.38968934,1.386545471,222
"65",2016010402,66,-2.559180556,-4.500533203,0.513014983,-1.393648878,26.59888638,100520.2889,3.95e-06,-1.73e-18,0.148086087,-63.48884103,1.485072917,189
"66",2016010404,68,-3.421246908,-4.939740209,0.670335991,-1.507822573,24.44525857,100600.0209,2.41e-06,-1.73e-18,0.148098363,-75.29958053,1.650114921,476
"67",2016010405,69,-2.992042727,-4.572284843,0.589238119,-1.648888419,23.78260386,100604.7755,2.22e-06,-1.73e-18,0.148122914,-61.77813418,1.751009589,254
"68",2016010406,70,-3.087150471,-5.120206453,0.443439213,-1.42289999,30.32631912,100613.9191,1.89e-06,4.08e-07,0.148184291,-54.37898198,1.490396832,289
"69",2016010408,72,-2.170214266,-4.167866511,-0.484976315,-0.619437997,59.89728555,100793.8648,-7.92e-08,3.67e-06,0.148417524,119.564121,0.786705445,8.5
"70",2016010410,74,0.552549757,-7.983749156,-2.196008464,-0.240588918,524.7495645,100877.9857,-2.47e-05,2.65e-05,0.150148361,263.1013481,2.209148298,174
"71",2016010411,75,0.175776769,-8.901300424,-2.344909475,0.025973634,616.7757373,100902.4905,-4.47e-05,2.37e-05,0.151032193,-280.7496316,2.34505332,202
"72",2016010412,76,-0.118081776,-8.683871214,-2.042232718,0.174116362,718.1619079,100805.5686,-4.84e-05,1.43e-05,0.151609139,-267.4339491,2.049641671,294
"73",2016010413,77,1.779195797,-9.642734032,-1.487842348,0.533150171,772.4167623,100697.3086,-5.86e-05,8.16e-06,0.151731893,-220.8083417,1.580482191,127
"74",2016010414,78,1.736519245,-9.466616371,-1.220175055,0.911999249,803.0645426,100621.9655,-5.33e-05,4.9e-06,0.151731893,-167.2092083,1.523341654,116
"75",2016010415,79,1.751151206,-9.27419152,-1.285762405,1.206397537,742.5973003,100606.97,-4.83e-05,2.04e-06,0.151744168,-147.1019798,1.763116553,166
"76",2016010416,80,0.325754366,-9.561198078,-0.943201449,0.820943368,329.9290798,100612.0904,-2.92e-05,2.04e-06,0.151805546,-153.8260469,1.250430721,406
"77",2016010417,81,0.230646621,-8.828461639,-1.663775982,0.221767366,137.9248776,100677.9242,-8.06e-06,2.04e-06,0.151879198,-258.8914434,1.678490776,502
"78",2016010418,82,-1.901961653,-9.933002028,-1.605722315,-0.488279785,98.4969224,100700.2345,-1.99e-06,2.45e-06,0.151952851,229.6069082,1.678320977,232
"79",2016010419,83,-1.83124051,-9.605771066,-1.246321363,-0.582166419,67.84914207,100772.2859,-1.86e-06,3.67e-06,0.152001953,204.0852584,1.375585214,181
"80",2016010420,84,-1.039895301,-10.19717852,-0.695476255,-0.478372151,49.12914651,100764.6053,-1.13e-06,8.16e-07,0.152001953,174.2908099,0.844113225,781
