ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016010405,69,-1.203285529,-12.13882137,-1.886241183,-3.096818458,246.0204272,102654.7662,-4.37E-06,-1.73E-18,0.149043572,98.47377631,3.626043348,0
2016010406,70,-1.782467307,-12.34320483,-1.712966495,-3.284119933,291.5779385,102666.1043,-5.06E-06,-1.73E-18,0.149080398,86.5387118,3.704011062,0
2016010407,71,-1.463002832,-12.82589767,-1.950942217,-3.202028103,320.569082,102719.5028,-5.77E-06,-1.73E-18,0.149080398,98.49915036,3.749554574,0
2016010408,72,-1.670288942,-13.38795218,-2.049323242,-3.218069035,360.8253556,102859.9482,-5.79E-06,-1.73E-18,0.149080398,102.0694176,3.815192533,0
2016010409,73,-2.204355508,-13.11942711,-2.170748471,-3.007177954,599.2982193,102892.1336,-1.30E-05,-1.73E-18,0.149080398,112.5439385,3.708809536,0
2016010410,74,1.126854215,-14.92735099,-2.330728426,-3.501144312,818.8854238,102915.1754,-2.50E-05,-1.73E-18,0.149080398,105.7205468,4.205984604,0
2016010411,75,0.975657288,-13.55211124,-1.688592818,-3.45632406,913.31372,102925.4162,-3.91E-05,-1.73E-18,0.149080398,81.8004697,3.846754698,0
2016010412,76,0.792757779,-12.500841,-1.283546616,-3.233166383,983.3066237,102834.7119,-4.39E-05,-1.73E-18,0.149080398,68.02416668,3.478628577,0
2016010413,77,2.418124749,-14.54141414,-1.033605634,-3.073228852,1083.036158,102725.3547,-5.14E-05,-1.73E-18,0.149043572,58.39941613,3.24238742,0
2016010414,78,2.426660059,-14.43704812,-0.989733015,-2.868942861,1187.984097,102645.9884,-4.55E-05,-1.73E-18,0.149043572,59.79550834,3.034864837,0
2016010415,79,2.832696969,-14.28158624,-1.076591937,-2.424514677,1286.388322,102628.067,-4.83E-05,-1.73E-18,0.149031296,75.2202259,2.652795058,0
2016010416,80,1.129292875,-14.17287163,-1.155030863,-1.018102345,458.235598,102630.2615,-3.18E-05,-1.73E-18,0.149043572,152.6984452,1.539684603,0
2016010417,81,-0.394869699,-13.81737487,-2.284640018,-0.287768131,65.28135507,102690.2433,-8.73E-06,-1.73E-18,0.149043572,260.1897159,2.302692014,0
2016010418,82,-2.638437009,-14.4033466,-1.90263802,-0.659068536,33.0597698,102708.1648,-2.93E-06,-1.73E-18,0.149104949,222.7202465,2.01355476,0
2016010419,83,-1.165486297,-15.17195886,-0.723838353,-1.550755657,24.11393122,102768.5124,-1.11E-06,-1.73E-18,0.149117224,78.60741228,1.711369354,0
2016010420,84,-2.666481601,-14.85886079,0.177544551,-2.262689977,47.47250974,102778.7532,-1.33E-06,-1.73E-18,0.149117224,-14.09502536,2.269644906,0
2016010421,85,-1.861723761,-16.46348837,-0.278907952,-2.282033454,106.9457699,102848.9759,-3.51E-06,-1.73E-18,0.149117224,21.89086089,2.299014209,0
