"","t2m","rh","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"58",0.469635313,0.767887898171238,36.12454783,95471.2038,-1.02e-06,-1.73e-18,0.106791507,-142.4649896,1.247991084,51
"59",-0.919181625,0.791861221120907,19.06118906,95536.67183,8.39e-07,-1.73e-18,0.106840609,41.12791307,0.773531118,243
"60",-3.05300923,0.837366285235096,18.15003883,95615.67236,8.57e-07,-1.73e-18,0.106840609,-27.21771944,1.110983774,831
"61",-2.734764084,0.823017671691696,19.97233928,95680.04317,9.88e-07,-1.73e-18,0.106852884,-45.02575431,1.580118391,-80
"62",-2.356771766,0.782148120103254,20.30366664,95704.54797,1.03e-06,-1.73e-18,0.106852884,-39.17276024,1.626872592,1114
"63",-2.515284673,0.752419893492779,23.8654357,95761.23816,5.95e-07,-1.73e-18,0.106877435,-30.51835938,1.616872428,196
"64",-3.652919619,0.74089581001391,25.10791328,95785.37722,-1.54e-07,-1.73e-18,0.106877435,-26.81031499,1.772782716,846
"65",-3.371254375,0.694963413351761,24.94224961,95821.95154,-4.35e-07,-1.73e-18,0.106877435,-39.17190227,1.700798757,1862
"66",-3.610243067,0.668199104562494,26.93021373,95856.69714,-6.41e-07,-1.73e-18,0.106877435,-38.33517428,1.747823142,730
"67",-3.522451303,0.655248117179333,29.24950522,95907.16971,-7.35e-07,-1.73e-18,0.106877435,-46.0520465,1.766299276,742
"68",-3.529767283,0.63264267223634,32.23145141,95965.32288,-8.85e-07,-1.73e-18,0.106877435,-51.15799458,1.745817233,159
"69",-4.183328195,0.590047714166179,42.33693574,95984.70727,-9.97e-07,-1.73e-18,0.106877435,-42.55863082,1.87417805,422
"70",-3.974822755,0.566119978839062,59.40029452,95983.61004,-1.54e-06,-1.73e-18,0.106877435,-24.6629237,1.617815033,270
"71",-4.116265042,0.599970028297524,127.1567386,95989.09619,-1.84e-06,-1.73e-18,0.106926537,-58.36126395,1.348809207,142
"72",-3.966287445,0.566544571703616,149.5213351,96020.5501,-2.42e-06,-1.73e-18,0.106926537,-9.843357698,1.075381371,719
"73",-3.689499521,0.536696171804587,194.5818553,96140.87962,-2.85e-06,-1.73e-18,0.106926537,8.082051184,1.227871974,855
"74",-4.211372787,0.48928774523989,408.1223356,96162.09273,-1.14e-05,8.16e-07,0.106975639,25.12694299,1.472609129,582
"75",-1.472757472,0.378488677446393,602.5286611,96189.15772,-2.48e-05,8.16e-07,0.107000189,29.60809441,1.3108509,762
"76",-1.472757472,0.410140056363019,760.4061457,96210.37083,-4.26e-05,8.16e-07,0.107037016,10.27772002,0.701729833,605
"77",-1.487389433,0.443595182057076,936.1753074,96124.78692,-5.07e-05,-1.73e-18,0.10715977,179.0288288,0.180934743,1614
"78",0.117248926,0.370772116778962,1103.661285,96026.40199,-5.69e-05,-1.73e-18,0.107184321,-96.55762583,0.228367546,1105
"79",0.0026319,0.391601119888205,1223.850283,95960.20247,-4.74e-05,-1.73e-18,0.107172046,-85.08922765,0.391627655,1127
"80",0.297709775,0.404965294094309,1281.169916,95951.05889,-5.45e-05,-1.73e-18,0.10715977,-87.58531002,0.644787274,1006
"81",-1.294735283,0.441750977205798,974.1122896,95959.10524,-3.37e-05,-1.73e-18,0.10715977,-46.37621086,0.988503894,726
"82",-1.82636319,0.513082721060224,217.5262746,96038.10578,-1.04e-05,8.16e-07,0.10715977,-101.3632348,1.639830214,68
"83",-3.606585077,0.525805291305366,262.006972,96063.34206,-1.93e-06,1.63e-06,0.107061567,-63.01411306,0.901074046,841
"84",-3.431001548,0.502039811391994,127.4880659,96121.49523,-1.05e-06,8.16e-07,0.107110668,-45.07376952,0.749975984,573
"85",-2.360429756,0.453972744430525,111.9156803,96109.79145,-9.97e-07,-1.73e-18,0.107110668,24.15880894,0.5617922,182
"86",-2.312875883,0.461720373561559,89.21975646,96167.94462,-9.22e-07,-1.73e-18,0.107122944,98.24105443,0.377034346,1363
"87",-2.667700931,0.473383104164209,27.84136396,96155.1436,-7.72e-07,-1.73e-18,0.107122944,282.1134655,0.276813586,785
"88",-3.576101825,0.491119035805122,33.14260164,96189.88921,-6.97e-07,-1.73e-18,0.107122944,-36.18741136,0.59172528,57
"89",-4.406465596,0.534542271108397,66.68949632,96211.10232,-7.91e-07,-1.73e-18,0.107135219,-27.33946591,0.924479361,639
"90",-5.255119318,0.576393665339171,116.3885996,96167.57887,-7.91e-07,-1.73e-18,0.10715977,-42.45536532,1.066987502,1072
"91",-5.236829367,0.574940307858358,159.5439875,96155.87509,-7.54e-07,-1.73e-18,0.10715977,-55.12006055,1.059364452,344
"92",-5.5099593,0.568720669379711,187.9553082,96125.5184,-1.86e-06,-1.73e-18,0.10715977,-47.77186213,0.812053383,223
"93",-6.369586993,0.543676136152303,190.7715907,96090.40706,-2.12e-06,-1.73e-18,0.10715977,-59.02372373,0.829219802,389
"94",-6.32203312,0.520487298128683,171.3889405,96079.06902,-2.08e-06,-1.73e-18,0.10715977,-71.19510376,0.795501687,603
"95",-7.265794587,0.494353157212984,207.5036222,96065.90226,-1.93e-06,-1.73e-18,0.107061567,-173.9267126,0.590130759,358
"96",-7.021928575,0.460843269508412,184.3107073,96097.35618,-1.69e-06,-1.73e-18,0.107061567,-255.5408943,0.686133115,447
"97",-7.377972952,0.488844813351862,166.1705346,96173.79651,-1.69e-06,-1.73e-18,0.107061567,-250.6887896,0.846809953,150
"98",-6.424456845,0.422745990681539,288.5959923,96211.8338,-1.11e-05,-1.73e-18,0.107061567,-261.2335249,0.826906726,725
"99",-2.951804835,0.317953464466133,493.6047931,96205.25042,-2.8e-05,-1.73e-18,0.107061567,207.19486,0.871865858,721
"100",-3.162748935,0.318594030783243,760.9031367,96167.21313,-4.29e-05,-1.73e-18,0.107061567,119.7502649,1.250357297,625
"101",-3.478555421,0.330309145387324,969.9706976,96057.85591,-5.32e-05,-1.73e-18,0.107061567,107.6104202,1.650763293,1457
"102",-1.097203814,0.295107778161025,1105.649249,95955.44781,-5.87e-05,-1.73e-18,0.107061567,121.651089,1.806936941,1371
"103",-1.039895301,0.285104862388209,1184.256664,95861.81755,-5.87e-05,-1.73e-18,0.107037016,110.5311888,1.722535599,2547
"104",-0.859434452,0.267835957301247,1191.71153,95839.87295,-5.14e-05,-1.73e-18,0.107037016,82.94396901,1.6271024,1093
"105",-1.912935624,0.311408228264016,611.308836,95844.99336,-3.36e-05,-1.73e-18,0.107037016,15.65501504,1.503174841,1126
"106",-2.515284673,0.406213683575892,146.7050525,95894.00295,-9.01e-06,-1.73e-18,0.107037016,-48.18606645,1.582154408,1237
"107",-3.220057448,0.436063084583927,44.98755458,95927.65133,-1.13e-06,-1.73e-18,0.107098393,53.13362193,0.925613701,1142
"108",-3.388324996,0.454557043510652,37.94684829,95949.96166,-9.97e-07,-1.73e-18,0.107098393,153.4046898,1.135993058,1267
"109",-3.340771124,0.458390894547072,44.57339538,96011.40652,-9.22e-07,-1.73e-18,0.107098393,-246.6811753,1.230278725,694
"110",-3.744369374,0.463469914235687,44.40773171,96033.35111,-9.97e-07,-1.73e-18,0.107098393,-181.8796912,1.496590374,1048
"111",-5.250241998,0.520304434591955,42.08844022,96030.42517,-1.07e-06,-1.73e-18,0.107098393,-173.4335582,1.396399667,1584
"112",-7.188976793,0.537404016785532,41.17729,96056.39294,-1.13e-06,-1.73e-18,0.107098393,-180.0335541,1.129329461,5325
"113",-7.243846645,0.48184107005696,40.68029896,96049.80956,-1.3e-06,-1.73e-18,0.107098393,-159.2590503,1.266085505,4372
"114",-7.231653345,0.453543655003526,40.7631308,96043.59192,-1.45e-06,-1.73e-18,0.107098393,-134.0565602,1.495709137,1883
"115",-6.918285519,0.404441039988822,41.09445816,96002.99443,-1.54e-06,-1.73e-18,0.107098393,-115.7734386,1.634931542,954
"116",-7.031683215,0.371049502015065,44.24206803,96011.77226,-1.63e-06,-1.73e-18,0.107098393,-105.0994202,1.74333353,898
"117",-7.477958017,0.38307165840648,47.47250974,95984.70727,-1.67e-06,-1.73e-18,0.107098393,-94.60008914,1.853771971,592
"118",-7.108501009,0.370164315550193,50.53728777,96026.03625,-1.62e-06,-1.73e-18,0.107098393,-88.29826795,1.899814706,770
"119",-7.686463457,0.389260389974654,54.59604787,96023.84179,-1.54e-06,-1.73e-18,0.10715977,-80.35537287,1.921141067,915
"120",-7.458448736,0.389652176935338,58.0749851,96055.66145,-1.5e-06,-1.73e-18,0.10715977,-86.18387161,1.895541698,339
"121",-7.313348459,0.420796700859284,58.0749851,96165.75016,-1.73e-06,-1.73e-18,0.10715977,-99.59131045,1.802733864,671
"122",-6.570776452,0.423111175359479,77.37480352,96213.66252,-1.03e-05,-1.73e-18,0.10715977,-104.6650116,1.826378897,869
"123",-1.414229629,0.328231659862359,237.902907,96274.74163,-2.6e-05,-1.73e-18,0.10715977,-119.1468243,1.313410351,1323
"124",-1.411790969,0.30739300407088,878.7728432,96264.13508,-4.34e-05,-1.73e-18,0.10715977,-177.4599555,1.771346328,1292
"125",-1.381307718,0.307013566050373,1057.441119,96210.73657,-5.43e-05,-1.73e-18,0.10715977,-181.9791501,2.34906199,1197
"126",0.761055197,0.230640654963709,1194.610644,96102.47658,-5.96e-05,-1.73e-18,0.10715977,-166.3079517,2.409464158,590
"127",0.728133286,0.223276304449865,1280.672925,96037.00855,-5.82e-05,-1.73e-18,0.10715977,-138.3946233,2.512191667,854
"128",0.569620378,0.21804410673029,1312.728846,96023.1103,-5.13e-05,-1.73e-18,0.10715977,-112.8844973,2.625466479,1771
"129",-1.369114417,0.245810762147727,1202.314005,96111.25442,-3.27e-05,-1.73e-18,0.10715977,-101.0485105,2.223162641,473
"130",-1.21791749,0.215385794105099,888.629832,96205.61617,-1.02e-05,-1.73e-18,0.10715977,-77.04171847,1.915053095,457
"131",-3.707789472,0.263510307964429,846.5512579,96245.48218,-2.25e-06,-1.73e-18,0.107208872,-67.92935077,2.165494981,547
"132",-3.537083264,0.246565314763562,875.7080652,96286.07967,-2.5e-06,-1.73e-18,0.107208872,-61.87351501,2.917416877,429
"133",-3.25663735,0.230184481889311,783.4333968,96320.45954,-2.74e-06,-1.73e-18,0.107208872,-70.4727336,3.259477816,550
"134",-3.566347185,0.239583539440141,679.8107666,96356.30237,-2.7e-06,-1.73e-18,0.107208872,-72.25440457,3.289925836,310
"135",-4.466212769,0.287238064013506,622.9052934,96355.93663,-2.5e-06,-1.73e-18,0.107208872,-72.1032382,2.592981832,455
"136",-6.682954818,0.353039994662192,586.7077799,96407.87216,-2.2e-06,-1.73e-18,0.107208872,-76.30112199,2.096265684,496
"137",-7.075579097,0.37593054374475,520.1109815,96451.76135,-1.9e-06,-1.73e-18,0.107208872,-72.30989832,2.08728276,1486
"138",-7.677928147,0.417346857007642,336.1414677,96465.65959,-1.56e-06,-1.73e-18,0.107208872,-73.23434626,2.08365477,719
"139",-7.229214685,0.411188780863737,308.5584654,96462.00216,-1.39e-06,-1.73e-18,0.107208872,-70.56953948,2.072204402,544
"140",-7.468203376,0.431424632852467,268.0536963,96415.55277,-1.56e-06,-1.73e-18,0.107208872,-69.93266761,1.84794367,227
"141",-8.516827228,0.450038252775841,203.2791984,96372.76082,-1.48e-06,-1.73e-18,0.107208872,-87.73795349,1.619534686,258
"142",-8.675340136,0.465675960153692,156.6448732,96364.34872,-1.3e-06,-1.73e-18,0.107208872,-76.79954871,1.545920617,245
"143",-9.500826586,0.493902145672064,311.4575798,96265.9638,-1.17e-06,-1.73e-18,0.107257974,-80.15833597,1.647768777,405
