,Station,ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
5235,changping,2016090103,5851,18.83274601,3.603053472,1.229601097,-1.240316437,36.29021151,93355.74505,-2.15E-05,-1.73E-18,0.119103773,-140.5907733,1.746511872,180
5236,changping,2016090104,5852,17.94019641,3.673717966,1.156036907,-1.231352386,37.1185299,93332.33748,-2.03E-05,-1.73E-18,0.119103773,-135.6950537,1.68897899,219
5237,changping,2016090105,5853,17.76705154,3.757428212,1.085131664,-1.241260021,38.11251196,93359.76822,-1.83E-05,-1.73E-18,0.119103773,-129.309631,1.648707726,220
5238,changping,2016090106,5854,18.64862718,5.153323743,1.327982122,-1.488950888,41.83994471,93354.28208,-1.71E-05,-1.73E-18,0.118821438,-131.0970543,1.995121866,367
5239,changping,2016090107,5855,19.88136987,6.756864171,1.144071647,-1.404971889,48.880651,93396.34255,-4.42E-05,-1.73E-18,0.118821438,-123.0122044,1.811862562,620
5240,changping,2016090108,5856,20.92023908,8.258212869,0.998715899,-1.826282259,99.40807262,93387.93045,-7.54E-05,-1.73E-18,0.118821438,-90.07690243,2.081523561,3482
5241,changping,2016090109,5857,21.07265533,6.729685519,0.267062421,-1.501217483,1435.734127,93428.89369,-0.000115992,-1.73E-18,0.118821438,-31.68997351,1.524787286,1833
5242,changping,2016090111,5859,23.81370931,3.604140618,0.243131901,-2.140024024,1621.691605,93439.1345,-0.000254927,-1.73E-18,0.118821438,-20.36280492,2.153791063,911
5243,changping,2016090112,5860,23.64788042,4.603227841,0.213883488,-2.132947142,1723.988926,93440.23173,-0.000258505,-1.73E-18,0.118821438,-17.98955096,2.143644013,1125
5244,changping,2016090113,5861,24.60871251,5.485990435,0.099991941,-1.789954265,1747.264672,93428.16221,-0.000274052,-1.73E-18,0.118821438,-10.04487229,1.792745007,729
5245,changping,2016090114,5862,24.1258578,6.928633247,-0.393685814,-1.305895542,1771.451569,93431.81964,-0.000201728,4.90E-05,0.118821438,52.7045592,1.363947099,3047
5246,changping,2016090115,5863,24.17585034,6.182851055,-0.57139208,-0.942615604,1887.995966,93478.63477,-0.000181311,-1.73E-18,0.118821438,98.09085196,1.10227632,2152
5247,changping,2016090116,5864,23.32231929,6.892757427,-1.157689809,0.522770744,293.0689116,93489.24132,-0.000163815,-1.73E-18,0.118821438,-206.3956953,1.270249954,1406
5248,changping,2016090117,5865,22.44684031,9.697594243,-1.366417119,0.640246984,279.0703308,93505.33402,-0.000129891,-1.73E-18,0.118821438,-203.8709527,1.508977118,2532
5249,changping,2016090118,5866,20.9007298,12.3121805,-1.101408773,0.357171707,104.6264785,93580.67713,-5.80E-05,-1.73E-18,0.118575929,-226.2978246,1.157874308,3026
5250,changping,2016090119,5867,20.02647014,13.70916318,-1.017651954,0.217049445,39.43782138,93700.27516,-2.09E-05,2.04E-06,0.118575929,-244.918871,1.040541187,1683
5251,changping,2016090120,5868,21.32871465,12.18281012,-0.127347995,0.415202139,15.58225183,93736.48373,-6.17E-06,2.86E-06,0.118575929,-53.56877344,0.434292905,1187
5252,changping,2016090121,5869,21.56526468,11.93385367,0.604305483,0.55296544,20.46933031,93769.40062,-3.08E-06,-1.73E-18,0.118575929,149.3517822,0.819118975,1772
5253,changping,2016090122,5870,21.19336901,12.33392342,0.813032793,0.572308917,26.51605454,93795.00265,-3.13E-06,-1.73E-18,0.118575929,172.3401465,0.994263456,2436
5254,changping,2016090123,5871,19.78016547,12.86445069,0.572398124,-0.04809773,20.88348951,93798.66008,-2.29E-06,-1.73E-18,0.118575929,-267.6536651,0.574415359,2997
5255,changping,2016090200,5872,19.6716451,12.68942018,0.671222307,-0.296732182,22.04313525,93806.70643,-2.20E-06,-1.73E-18,0.118575929,-207.8190675,0.733886485,3198
5256,changping,2016090202,5874,18.19625572,13.63958583,0.667677045,-0.914308077,21.71180789,93840.72055,-3.69E-06,-1.73E-18,0.118575929,-113.5338075,1.132144821,521
5257,changping,2016090203,5875,18.341356,13.46781675,0.416406589,-0.986492272,20.30366664,93837.7946,-5.31E-06,-1.73E-18,0.118575929,-71.89538679,1.070776097,746
5258,changping,2016090204,5876,17.95238971,13.38084507,0.318468722,-0.933179762,18.81269354,93879.85507,-7.14E-06,-1.73E-18,0.118575929,-59.19818982,0.986025757,424
5259,changping,2016090206,5878,18.90468649,11.80991902,0.379181336,-0.896851768,20.2208348,93856.08177,-8.45E-06,-1.73E-18,0.118330421,-71.99974302,0.973715348,861
5260,changping,2016090207,5879,19.66067112,13.12210431,0.435019215,-1.22993701,22.3744626,93903.26264,-2.28E-05,-1.73E-18,0.118330421,-61.19286375,1.304602149,692
5261,changping,2016090208,5880,20.41055911,13.36127644,0.119934041,-1.153506685,52.9394111,93937.6425,-6.69E-05,-1.73E-18,0.118330421,-18.64821051,1.159724901,476
5262,changping,2016090209,5881,20.823912,11.62727849,-0.446864747,-0.573674161,356.021109,93969.46216,-0.000176515,-1.73E-18,0.118330421,119.1194109,0.727179582,567
5263,changping,2016090210,5882,24.89403574,11.08805404,-0.641411008,-0.064610455,1366.238214,93957.39264,-0.000303237,-1.73E-18,0.118330421,264.6725795,0.644656956,272
5264,changping,2016090211,5883,24.98304684,11.80991902,-0.43622896,0.081645105,1879.215791,93969.09642,-0.000386107,-1.73E-18,0.118330421,-249.4396367,0.443803592,903
5265,changping,2016090212,5884,25.0830319,11.35549197,0.90698224,-0.360895911,2275.56614,93943.12865,-0.000447416,4.65E-05,0.118330421,-214.5769734,0.976146835,1362
5266,changping,2016090213,5885,26.13531374,11.0304353,-0.268715323,1.08514696,2029.555579,93954.83243,-0.000410365,1.88E-05,0.118330421,-43.69448974,1.117923007,1059
5267,changping,2016090214,5886,26.05971528,11.12827845,-1.14572455,1.391340051,1817.091912,93940.56845,-0.000374736,4.49E-06,0.118330421,-123.9998445,1.80236286,2128
5268,changping,2016090215,5887,25.09644453,11.97190378,-1.158132967,1.115341656,1209.520375,93996.8929,-0.000283362,8.16E-07,0.118330421,-144.7592272,1.607874056,2944
5269,changping,2016090216,5888,24.26120344,13.03621977,-0.982199333,0.831794587,1103.247126,94019.20324,-0.000189496,3.67E-06,0.118330421,-156.2620555,1.287088872,2799
5270,changping,2016090217,5889,24.0405047,12.33174913,-0.781005705,0.46426852,1163.962864,94055.77756,-0.000178688,8.57E-06,0.118330421,-186.2042412,0.908578654,902
5271,changping,2016090218,5890,21.91643174,14.6658517,-0.693703624,-0.0259235,106.5316108,94123.8058,-8.85E-05,-1.73E-18,0.118060361,276.0199203,0.694187832,1137
5272,changping,2016090219,5891,22.74191819,12.73725461,-1.358440279,-0.26748107,55.59002993,94179.03302,-1.49E-05,-1.73E-18,0.118060361,247.7484619,1.384523786,229
5273,changping,2016090220,5892,22.52609677,12.93402804,-0.80183412,-1.037445822,37.20136174,94209.75545,-4.69E-06,-1.73E-18,0.118060361,118.4385719,1.311194795,3107
5274,changping,2016090221,5893,22.48829753,12.72203456,-0.504032099,-1.200685898,33.0597698,94250.71869,-4.31E-06,-1.73E-18,0.118060361,71.54041545,1.302188536,4271
5275,changping,2016090222,5894,22.06884799,12.77421757,0.015791965,-0.810513809,22.62295812,94293.14491,-3.53E-06,-1.73E-18,0.118060361,-3.506657233,0.810667638,3416
5276,changping,2016090223,5895,19.7204183,13.39389082,0.343728715,-0.541592296,15.49941999,94345.81193,-3.00E-06,-1.73E-18,0.118060361,-101.793239,0.641460556,2428
