0,1,2
217.0,2016011010.0,214.0
218.0,2016011011.0,281.0
219.0,2016011012.0,94.0
220.0,2016011013.0,223.0
221.0,2016011014.0,335.0
222.0,2016011015.0,331.0
223.0,2016011016.0,135.0
224.0,2016011017.0,248.0
225.0,2016011018.0,191.0
226.0,2016011019.0,220.0
227.0,2016011020.0,133.0
228.0,2016011021.0,337.0
229.0,2016011022.0,294.0
230.0,2016011023.0,216.0
0.0,2016011100.0,0.0
231.0,2016011101.0,174.0
232.0,2016011102.0,477.0
233.0,2016011103.0,187.0
234.0,2016011104.0,364.0
235.0,2016011105.0,137.0
236.0,2016011106.0,144.0
237.0,2016011107.0,220.0
238.0,2016011108.0,147.0
239.0,2016011109.0,207.0
240.0,2016011110.0,319.0
241.0,2016011111.0,114.0
242.0,2016011112.0,238.0
243.0,2016011113.0,353.0
244.0,2016011114.0,234.0
245.0,2016011115.0,143.0
246.0,2016011116.0,33.0
247.0,2016011117.0,207.0
248.0,2016011118.0,100.0
249.0,2016011119.0,342.0
250.0,2016011120.0,321.0
251.0,2016011121.0,296.0
252.0,2016011122.0,304.0
253.0,2016011123.0,374.0
0.0,2016011200.0,0.0
254.0,2016011201.0,478.0
255.0,2016011202.0,213.0
256.0,2016011203.0,353.0
257.0,2016011204.0,334.0
258.0,2016011205.0,228.0
259.0,2016011206.0,310.0
260.0,2016011207.0,145.0
261.0,2016011208.0,146.0
262.0,2016011209.0,35.0
263.0,2016011210.0,167.0
264.0,2016011211.0,546.0
265.0,2016011212.0,368.0
266.0,2016011213.0,676.0
267.0,2016011214.0,1119.0
268.0,2016011215.0,1141.0
269.0,2016011216.0,1112.0
270.0,2016011217.0,873.0
271.0,2016011218.0,722.0
272.0,2016011219.0,805.0
273.0,2016011220.0,710.0
274.0,2016011221.0,772.0
275.0,2016011222.0,764.0
276.0,2016011223.0,539.0
0.0,2016011300.0,0.0
277.0,2016011301.0,915.0
278.0,2016011302.0,916.0
279.0,2016011303.0,294.0
280.0,2016011304.0,156.0
281.0,2016011305.0,204.0
282.0,2016011306.0,124.0
283.0,2016011307.0,165.0
284.0,2016011308.0,171.0
285.0,2016011309.0,355.0
286.0,2016011310.0,206.0
287.0,2016011311.0,468.0
288.0,2016011312.0,500.0
289.0,2016011313.0,1259.0
290.0,2016011314.0,976.0
291.0,2016011315.0,1624.0
292.0,2016011316.0,1813.0
293.0,2016011317.0,1980.0
294.0,2016011318.0,2016.0
295.0,2016011319.0,1580.0
296.0,2016011320.0,1688.0
297.0,2016011321.0,1211.0
298.0,2016011322.0,1592.0
299.0,2016011323.0,1761.0
0.0,2016011400.0,0.0
300.0,2016011401.0,2121.0
301.0,2016011402.0,2253.0
302.0,2016011403.0,1104.0
303.0,2016011404.0,307.0
304.0,2016011405.0,355.0
305.0,2016011406.0,276.0
306.0,2016011407.0,451.0
307.0,2016011408.0,971.0
308.0,2016011409.0,907.0
309.0,2016011410.0,1003.0
310.0,2016011411.0,1186.0
311.0,2016011412.0,1468.0
312.0,2016011413.0,1829.0
313.0,2016011414.0,2170.0
314.0,2016011415.0,2431.0
315.0,2016011416.0,3055.0
316.0,2016011417.0,2551.0
317.0,2016011418.0,2769.0
318.0,2016011419.0,2576.0
319.0,2016011420.0,1840.0
320.0,2016011421.0,1722.0
321.0,2016011422.0,1899.0
322.0,2016011423.0,1952.0
0.0,2016011500.0,0.0
323.0,2016011501.0,2218.0
324.0,2016011502.0,833.0
325.0,2016011503.0,59.0
326.0,2016011504.0,28.2
327.0,2016011505.0,76.0
328.0,2016011506.0,470.0
329.0,2016011507.0,770.0
330.0,2016011508.0,1126.0
331.0,2016011509.0,2073.0
332.0,2016011510.0,3214.0
333.0,2016011511.0,2271.0
334.0,2016011512.0,3293.0
335.0,2016011513.0,3378.0
336.0,2016011514.0,3925.0
337.0,2016011515.0,4624.0
338.0,2016011516.0,6243.0
339.0,2016011517.0,8481.0
340.0,2016011518.0,8414.0
341.0,2016011519.0,8134.0
342.0,2016011520.0,7618.0
343.0,2016011521.0,7182.0
344.0,2016011522.0,7158.0
345.0,2016011523.0,7304.0
0.0,2016011600.0,0.0
